Ensembl Gene ID,Gene name
ENSMUSG00000001403,Ube2c
ENSMUSG00000004880,Lbr
ENSMUSG00000005698,Ctcf
ENSMUSG00000006398,Cdc20
ENSMUSG00000009575,Cbx5
ENSMUSG00000012443,Kif11
ENSMUSG00000015749,Anp32e
ENSMUSG00000017716,Birc5
ENSMUSG00000019942,Cdk1
ENSMUSG00000019961,Tmpo
ENSMUSG00000020330,Hmmr
ENSMUSG00000020737,Jpt1
ENSMUSG00000020808,Pimreg
ENSMUSG00000020897,Aurkb
ENSMUSG00000020914,Top2a
ENSMUSG00000022385,Gtse1
ENSMUSG00000022391,Rangap1
ENSMUSG00000023505,Cdca3
ENSMUSG00000024056,Ndc80
ENSMUSG00000024795,Kif20b
ENSMUSG00000026605,Cenpf
ENSMUSG00000026622,Nek2
ENSMUSG00000026683,Nuf2
ENSMUSG00000027306,Nusap1
ENSMUSG00000027379,Bub1
ENSMUSG00000027469,Tpx2
ENSMUSG00000027496,Aurka
ENSMUSG00000027699,Ect2
ENSMUSG00000028044,Cks1b
ENSMUSG00000028678,Kif2c
ENSMUSG00000028873,Cdca8
ENSMUSG00000029177,Cenpa
ENSMUSG00000031004,Mki67
ENSMUSG00000032218,Ccnb2
ENSMUSG00000032254,Kif23
ENSMUSG00000034349,Smc4
ENSMUSG00000035293,G2e3
ENSMUSG00000036752,Tubb4b
ENSMUSG00000036777,Anln
ENSMUSG00000037313,Tacc3
ENSMUSG00000037544,Dlgap5
ENSMUSG00000037725,Ckap2
ENSMUSG00000038252,Ncapd2
ENSMUSG00000038379,Ttk
ENSMUSG00000040549,Ckap5
ENSMUSG00000044201,Cdc25c
ENSMUSG00000044783,Hjurp
ENSMUSG00000045328,Cenpe
ENSMUSG00000048327,Ckap2l
ENSMUSG00000048922,Cdca2
ENSMUSG00000054717,Hmgb2
ENSMUSG00000062248,Cks2
ENSMUSG00000068744,Psrc1
ENSMUSG00000074802,Gas2l3
